id,submit_time,task_type
180,1880,vgg16
181,1916,resnet50
182,1928,vgg19
183,1942,vgg16
184,1950,vgg19
185,1955,vgg16
186,1966,vgg16
187,1978,resnet50
188,1982,resnet50
189,1989,resnet50
190,1999,resnet50
191,2000,vgg19
192,2004,resnet50
193,2025,vgg19
194,2038,vgg16
195,2058,vgg19
196,2061,vgg19
197,2064,vgg16
198,2070,resnet50
199,2070,vgg19
200,2086,vgg16
201,2087,vgg19
202,2090,vgg19
203,2100,resnet50
204,2110,resnet50
205,2112,vgg19
206,2117,vgg16
207,2125,resnet50
208,2127,vgg16
209,2138,resnet50
210,2144,vgg16
211,2145,vgg19
212,2161,vgg19
213,2162,vgg19
214,2194,vgg19
215,2202,resnet50
216,2211,vgg19
217,2218,vgg19
218,2221,resnet50
219,2227,vgg19
220,2240,vgg19
221,2252,vgg16
222,2254,vgg16
223,2271,vgg19
224,2271,vgg16
225,2279,vgg16
226,2285,vgg19
227,2286,resnet50
228,2293,vgg19
229,2310,resnet50
230,2310,vgg16
231,2311,resnet50
232,2313,resnet50
233,2316,resnet50
234,2319,resnet50
235,2339,vgg16
236,2346,vgg19
237,2357,vgg16
238,2369,resnet50
239,2377,vgg16
240,2387,resnet50
241,2389,resnet50
242,2397,resnet50
243,2398,vgg19
244,2448,vgg19
245,2459,resnet50
246,2463,resnet50
247,2488,vgg16
248,2503,vgg16
249,2507,vgg19
250,2510,vgg16
251,2513,vgg16
252,2521,vgg16
253,2532,resnet50
254,2533,vgg19
255,2538,vgg16
256,2555,vgg16
257,2568,vgg16
258,2573,vgg19
259,2587,vgg16
260,2595,resnet50
261,2603,vgg19
262,2618,vgg19
263,2632,resnet50
264,2636,resnet50
265,2672,vgg16
266,2688,vgg19
267,2690,vgg16
268,2692,vgg16
269,2707,vgg19
270,2718,vgg16
271,2726,vgg16
272,2744,vgg16
273,2757,vgg16
274,2764,vgg16
275,2770,resnet50
276,2772,resnet50
277,2773,resnet50
278,2784,resnet50
279,2802,vgg19
280,2811,vgg16
281,2823,resnet50
282,2853,vgg19
283,2863,vgg16
284,2874,resnet50
285,2898,vgg19
286,2915,vgg16
287,2937,vgg19
288,2949,vgg19
289,2971,vgg19
290,2974,vgg19
291,2974,resnet50
292,2981,vgg19
293,2990,vgg19
294,2993,vgg16
295,2999,vgg16
296,3007,resnet50
297,3017,vgg16
298,3041,vgg19
299,3046,resnet50
300,3063,vgg16
301,3066,vgg19
302,3090,vgg19
303,3091,resnet50
304,3104,resnet50
305,3114,vgg19
306,3118,resnet50
307,3119,vgg16
308,3125,vgg16
309,3125,vgg19
310,3149,vgg16
311,3150,vgg19
312,3160,resnet50
313,3166,vgg19
314,3179,vgg19
315,3182,vgg16
316,3185,resnet50
317,3199,resnet50
318,3207,vgg16
319,3209,vgg16
320,3222,resnet50
321,3225,resnet50
322,3235,vgg19
323,3236,vgg19
324,3236,vgg19
325,3250,vgg16
326,3263,vgg16
327,3298,resnet50
328,3307,resnet50
329,3310,vgg19
330,3313,vgg16
331,3320,vgg16
332,3332,vgg16
333,3336,vgg16
334,3338,vgg16
335,3376,vgg19
336,3419,resnet50
337,3432,resnet50
338,3444,vgg16
339,3448,vgg16
340,3470,resnet50
341,3482,vgg19
342,3487,resnet50
343,3502,vgg19
344,3503,vgg19
345,3525,vgg16
346,3545,vgg19
347,3553,resnet50
348,3559,vgg19
349,3559,vgg19
350,3566,vgg19
351,3590,vgg19
352,3595,vgg19
353,3600,vgg19
354,3617,resnet50
355,3621,vgg19
356,3636,resnet50
357,3641,vgg16
358,3644,vgg19
359,3659,vgg16
360,3660,resnet50
361,3660,resnet50
362,3661,resnet50
363,3673,vgg16
364,3693,vgg16
365,3709,vgg19
366,3718,vgg16
367,3754,vgg16
368,3762,vgg16
369,3762,resnet50
370,3763,vgg16
371,3778,resnet50
372,3780,resnet50
373,3792,vgg19
374,3800,vgg19
375,3816,vgg19
376,3829,vgg16
377,3841,vgg19
378,3880,resnet50
379,3898,vgg19
380,3899,vgg19
381,3914,resnet50
382,3953,vgg19
383,3963,vgg19
384,3964,vgg16
385,3973,vgg19
386,3982,resnet50
387,3983,vgg19
388,3993,resnet50
389,4003,vgg19
390,4006,resnet50
391,4028,vgg19
392,4039,vgg16
393,4039,vgg19
394,4048,vgg19
395,4079,resnet50
396,4101,vgg19
397,4110,vgg19
398,4110,resnet50
399,4112,vgg16
400,4113,vgg16
401,4115,vgg16
402,4120,vgg16
403,4126,vgg19
404,4145,vgg19
405,4178,vgg19
406,4198,resnet50
407,4199,resnet50
408,4210,vgg19
409,4251,vgg19
410,4256,vgg19
411,4263,vgg19
412,4288,resnet50
413,4302,vgg19
414,4311,vgg16
415,4320,resnet50
416,4325,resnet50
417,4337,vgg19
418,4339,resnet50
419,4348,vgg16
420,4353,vgg16
421,4356,vgg19
422,4359,resnet50
423,4383,vgg16
424,4392,resnet50
425,4405,vgg19
426,4406,resnet50
427,4414,vgg16
428,4428,resnet50
429,4436,vgg16
430,4453,vgg19
431,4455,resnet50
432,4460,vgg19
433,4471,vgg19
434,4476,vgg16
435,4476,resnet50
436,4478,resnet50
437,4487,resnet50
438,4511,resnet50
439,4511,vgg19
440,4514,resnet50
441,4516,vgg19
442,4518,vgg19
443,4531,resnet50
444,4531,resnet50
445,4541,vgg19
446,4551,vgg19
447,4561,resnet50
448,4589,vgg16
449,4593,vgg19
450,4595,vgg16
451,4604,vgg16
452,4612,vgg19
453,4614,vgg16
454,4621,resnet50
455,4624,vgg19
456,4631,vgg19
457,4637,resnet50
458,4643,vgg19
459,4651,vgg16
460,4667,vgg19
461,4686,vgg19
462,4700,vgg16
463,4728,vgg16
464,4734,resnet50
465,4743,vgg16
466,4778,vgg19
467,4781,vgg16
468,4817,vgg19
469,4821,vgg16
470,4822,vgg16
471,4823,vgg16
472,4836,resnet50
473,4850,resnet50
474,4856,vgg19
475,4860,vgg16
476,4867,resnet50
477,4890,vgg19
478,4905,resnet50
479,4937,resnet50
480,4944,vgg19
481,4949,vgg19
482,4968,resnet50
483,4978,resnet50
484,4995,vgg19
485,5007,vgg16
486,5009,resnet50
487,5010,resnet50
488,5023,resnet50
489,5026,vgg16
490,5026,vgg16
491,5033,vgg19
492,5036,vgg19
493,5038,vgg16
494,5047,vgg16
495,5056,vgg19
496,5057,vgg19
497,5094,vgg19
498,5115,vgg16
499,5133,resnet50
500,5136,resnet50
501,5137,vgg19
502,5137,resnet50
503,5144,resnet50
504,5146,resnet50
505,5181,resnet50
506,5189,resnet50
507,5189,vgg16
508,5195,vgg16
509,5196,vgg16
510,5208,vgg19
511,5305,vgg19
512,5338,resnet50
513,5344,resnet50
514,5354,resnet50
515,5377,vgg19
516,5391,vgg19
517,5402,vgg16
518,5405,resnet50
519,5447,vgg19
520,5455,vgg16
521,5455,vgg19
522,5456,vgg19
523,5460,resnet50
524,5468,vgg19
525,5482,resnet50
526,5485,vgg19
527,5520,resnet50
528,5521,vgg16
529,5550,resnet50
530,5573,vgg16
531,5578,vgg19
532,5586,resnet50
533,5594,vgg19
534,5596,resnet50
535,5600,vgg19
536,5610,resnet50
537,5620,vgg19
538,5643,resnet50
539,5647,vgg16
540,5648,vgg16
541,5649,resnet50
542,5666,vgg16
543,5678,vgg16
544,5686,vgg16
545,5688,vgg19
546,5690,resnet50
547,5718,vgg16
548,5725,vgg16
549,5729,vgg19
550,5740,vgg19
551,5741,resnet50
552,5758,vgg19
553,5761,vgg16
554,5793,vgg19
555,5875,resnet50
556,5876,vgg16
557,5882,vgg16
558,5896,resnet50
559,5903,vgg16
560,5949,vgg16
561,5950,resnet50
562,5965,resnet50
563,5968,resnet50
564,5970,vgg19
565,5978,vgg19
566,5996,vgg16
567,6019,resnet50
568,6022,vgg16
569,6022,vgg16
570,6039,vgg16
571,6043,vgg16
572,6056,resnet50
573,6069,vgg19
574,6077,vgg16
575,6080,resnet50
576,6099,vgg16
577,6101,resnet50
578,6108,resnet50
579,6125,resnet50
580,6140,vgg16
581,6141,vgg16
582,6153,resnet50
583,6160,vgg16
584,6160,vgg16
585,6164,resnet50
586,6168,resnet50
587,6173,vgg19
588,6182,vgg16
589,6187,vgg16
590,6200,resnet50
591,6211,vgg19
592,6220,resnet50
593,6235,resnet50
594,6244,resnet50
595,6244,vgg19
596,6263,vgg19
597,6274,vgg16
598,6275,vgg19
599,6278,resnet50
600,6281,vgg16
601,6302,resnet50
602,6302,vgg19
603,6313,vgg19
604,6319,vgg16
605,6321,vgg16
606,6365,vgg16
607,6370,resnet50
608,6371,resnet50
609,6384,resnet50
610,6392,vgg19
611,6394,vgg19
612,6395,vgg16
613,6409,vgg19
614,6420,vgg16
615,6424,vgg19
616,6425,vgg16
617,6448,vgg16
618,6456,vgg19
619,6457,resnet50
620,6458,vgg16
621,6464,vgg19
622,6469,vgg16
623,6495,resnet50
624,6507,vgg19
625,6509,resnet50
626,6515,vgg19
627,6519,resnet50
628,6540,vgg19
629,6542,vgg16
630,6546,resnet50
631,6553,resnet50
632,6554,resnet50
633,6555,vgg19
634,6562,vgg19
635,6594,vgg19
636,6601,vgg19
637,6611,vgg19
638,6616,vgg19
639,6628,vgg19
640,6641,vgg19
641,6641,resnet50
642,6641,resnet50
643,6651,vgg19
644,6652,vgg19
645,6655,resnet50
646,6670,resnet50
647,6676,vgg19
648,6687,resnet50
649,6691,vgg16
650,6707,vgg16
651,6713,resnet50
652,6728,vgg16
653,6747,vgg19
654,6766,resnet50
655,6779,vgg19
656,6784,vgg19
657,6792,vgg16
658,6811,vgg19
659,6820,vgg16
660,6821,vgg19
661,6830,resnet50
662,6837,resnet50
663,6848,vgg19
664,6856,vgg16
665,6888,vgg16
666,6889,vgg19
667,6893,resnet50
668,6902,vgg19
669,6905,vgg16
670,6919,resnet50
671,6925,vgg16
672,6953,vgg19
673,6954,vgg16
674,6963,vgg16
675,6971,vgg16
676,7002,vgg19
677,7012,vgg19
678,7027,vgg19
679,7027,vgg19
680,7042,vgg19
681,7051,resnet50
682,7084,vgg16
683,7085,vgg19
684,7112,resnet50
685,7116,vgg19
686,7123,vgg19
687,7127,vgg19
688,7130,resnet50
689,7131,vgg16
690,7151,resnet50
691,7154,vgg16
692,7181,vgg19
693,7193,vgg19
694,7199,vgg19
695,7207,resnet50
696,7238,vgg16
697,7252,vgg16
698,7256,resnet50
699,7262,resnet50
700,7264,resnet50
701,7275,vgg19
702,7286,vgg16
703,7286,vgg19
704,7300,resnet50
705,7305,vgg16
706,7309,vgg19
707,7321,resnet50
708,7322,vgg16
709,7323,resnet50
710,7326,vgg16
711,7328,resnet50
712,7343,vgg19
713,7351,resnet50
714,7352,vgg19
715,7354,resnet50
716,7357,resnet50
717,7369,resnet50
718,7374,vgg16
719,7409,resnet50
720,7420,vgg19
721,7427,vgg19
722,7432,vgg16
723,7439,resnet50
724,7453,vgg16
725,7453,resnet50
726,7465,resnet50
727,7495,vgg16
728,7498,vgg19
729,7504,resnet50
730,7513,vgg16
731,7522,vgg16
732,7532,vgg19
733,7539,vgg16
734,7539,vgg16
735,7548,vgg19
736,7557,resnet50
737,7573,vgg19
738,7585,vgg19
739,7602,vgg16
740,7617,vgg19
741,7627,vgg16
742,7629,vgg19
743,7636,vgg19
744,7640,vgg16
745,7645,vgg19
746,7646,vgg16
747,7647,vgg16
748,7656,vgg16
749,7658,resnet50
750,7659,resnet50
751,7671,resnet50
752,7679,vgg16
753,7687,vgg16
754,7688,vgg19
755,7695,resnet50
756,7721,vgg16
757,7723,vgg19
758,7728,resnet50
759,7770,vgg19
760,7774,resnet50
761,7775,resnet50
762,7775,vgg19
763,7778,resnet50
764,7784,resnet50
765,7785,resnet50
766,7786,resnet50
767,7792,vgg19
768,7807,resnet50
769,7815,vgg16
770,7816,resnet50
771,7827,vgg19
772,7828,resnet50
773,7836,vgg19
774,7840,vgg16
775,7857,resnet50
776,7861,vgg19
777,7867,resnet50
778,7868,vgg16
779,7893,resnet50
780,7905,resnet50
781,7919,vgg16
782,7927,vgg19
783,7931,vgg19
784,7931,vgg16
785,7947,vgg19
786,7948,resnet50
787,7967,vgg19
788,7983,vgg16
789,8006,vgg19
790,8027,vgg16
791,8030,vgg16
792,8031,resnet50
793,8033,resnet50
794,8041,vgg19
795,8053,vgg19
796,8055,resnet50
797,8079,vgg19
798,8101,resnet50
799,8115,vgg19
800,8117,vgg16
801,8124,resnet50
802,8153,vgg16
803,8158,resnet50
804,8167,resnet50
805,8169,vgg19
806,8171,vgg19
807,8173,vgg19
808,8181,vgg19
809,8184,vgg16
810,8185,vgg19
811,8188,vgg19
812,8228,vgg16
813,8233,resnet50
814,8247,resnet50
815,8248,resnet50
816,8266,vgg19
817,8274,vgg19
818,8275,vgg16
819,8283,resnet50
820,8294,vgg19
821,8297,vgg19
822,8301,vgg19
823,8302,vgg16
824,8317,vgg16
825,8326,resnet50
826,8332,resnet50
827,8366,resnet50
828,8372,resnet50
829,8382,vgg16
830,8382,resnet50
831,8397,vgg19
832,8403,resnet50
833,8406,vgg19
834,8408,resnet50
835,8421,resnet50
836,8431,resnet50
837,8433,vgg16
838,8444,resnet50
839,8447,vgg19
840,8464,resnet50
841,8466,vgg16
842,8468,vgg16
843,8468,vgg19
844,8468,vgg19
845,8486,resnet50
846,8498,resnet50
847,8499,vgg16
848,8511,resnet50
849,8522,resnet50
850,8524,vgg19
851,8544,resnet50
852,8579,vgg19
853,8579,resnet50
854,8581,vgg16
855,8585,resnet50
856,8589,resnet50
857,8599,resnet50
858,8621,vgg19
859,8642,vgg16
860,8643,vgg16
861,8651,vgg19
862,8682,resnet50
863,8685,vgg16
864,8697,vgg19
865,8699,vgg19
866,8704,vgg19
867,8720,vgg19
868,8722,resnet50
869,8728,resnet50
870,8729,resnet50
871,8730,resnet50
872,8734,resnet50
873,8745,vgg16
874,8750,resnet50
875,8758,resnet50
876,8764,vgg16
877,8774,resnet50
878,8777,resnet50
879,8785,vgg16
880,8787,vgg16
881,8788,vgg19
882,8797,vgg19
883,8806,vgg19
884,8824,vgg16
885,8824,resnet50
886,8831,resnet50
887,8836,resnet50
888,8839,vgg16
889,8871,resnet50
890,8878,vgg19
891,8897,vgg16
892,8897,vgg16
893,8898,vgg16
894,8904,vgg16
895,8911,vgg19
896,8922,resnet50
897,8934,vgg19
898,8942,vgg19
899,8956,vgg19
900,8957,resnet50
901,8966,resnet50
902,8970,vgg16
903,8991,vgg19
904,8993,vgg19
905,8996,vgg19
906,8996,vgg19
907,9000,vgg16
908,9021,vgg19
909,9036,vgg16
910,9052,vgg16
911,9060,vgg16
912,9065,vgg16
913,9068,vgg16
914,9087,resnet50
915,9090,vgg16
916,9114,vgg16
917,9125,vgg16
918,9142,vgg16
919,9159,resnet50
920,9163,vgg19
921,9166,vgg19
922,9178,resnet50
923,9211,vgg19
924,9235,vgg19
925,9245,vgg19
926,9245,resnet50
927,9260,resnet50
928,9270,vgg19
929,9286,vgg19
930,9303,vgg19
931,9325,vgg16
932,9340,resnet50
933,9351,vgg19
934,9354,vgg16
935,9371,vgg16
936,9377,vgg16
937,9385,resnet50
938,9386,vgg16
939,9398,resnet50
940,9402,vgg19
941,9413,vgg16
942,9413,vgg16
943,9418,vgg19
944,9422,resnet50
945,9422,vgg16
946,9426,vgg16
947,9430,vgg19
948,9439,resnet50
949,9448,resnet50
950,9453,vgg19
951,9470,vgg19
952,9493,vgg19
953,9503,vgg16
954,9514,vgg16
955,9553,vgg16
956,9569,vgg16
957,9577,resnet50
958,9591,resnet50
959,9608,vgg19
960,9613,resnet50
961,9618,vgg16
962,9621,vgg16
963,9632,resnet50
964,9651,vgg19
965,9658,vgg16
966,9669,vgg16
967,9685,resnet50
968,9697,resnet50
969,9712,resnet50
970,9719,vgg16
971,9727,resnet50
972,9747,vgg16
973,9752,vgg19
974,9757,vgg19
975,9759,resnet50
976,9766,vgg16
977,9769,resnet50
978,9778,resnet50
979,9785,vgg16
980,9786,resnet50
981,9788,vgg19
982,9819,vgg19
983,9832,vgg19
984,9843,resnet50
985,9860,vgg16
986,9871,vgg19
987,9876,resnet50
988,9888,resnet50
989,9902,vgg16
990,9907,vgg16
991,9917,resnet50
992,9918,vgg16
993,9918,vgg16
994,9935,vgg16
995,9967,vgg16
996,9971,vgg16
997,9976,resnet50
998,9985,vgg19
999,9998,vgg16
