id,submit_time,task_type
317,3199,resnet50
318,3207,resnet50
319,3209,resnet50
320,3222,resnet50
321,3225,resnet50
322,3235,resnet50
323,3236,resnet50
324,3236,resnet50
325,3250,resnet50
326,3263,resnet50
327,3298,resnet50
328,3307,resnet50
329,3310,resnet50
330,3313,resnet50
331,3320,resnet50
332,3332,resnet50
333,3336,resnet50
334,3338,resnet50
335,3376,resnet50
336,3419,resnet50
337,3432,resnet50
338,3444,resnet50
339,3448,resnet50
340,3470,resnet50
341,3482,resnet50
342,3487,resnet50
343,3502,resnet50
344,3503,resnet50
345,3525,resnet50
346,3545,resnet50
347,3553,resnet50
348,3559,resnet50
349,3559,resnet50
350,3566,resnet50
351,3590,resnet50
352,3595,resnet50
353,3600,resnet50
354,3617,resnet50
355,3621,resnet50
356,3636,resnet50
357,3641,resnet50
358,3644,resnet50
359,3659,resnet50
360,3660,resnet50
361,3660,resnet50
362,3661,resnet50
363,3673,resnet50
364,3693,resnet50
365,3709,resnet50
366,3718,resnet50
367,3754,resnet50
368,3762,resnet50
369,3762,resnet50
370,3763,resnet50
371,3778,resnet50
372,3780,resnet50
373,3792,resnet50
374,3800,resnet50
375,3816,resnet50
376,3829,resnet50
377,3841,resnet50
378,3880,resnet50
379,3898,resnet50
380,3899,resnet50
381,3914,resnet50
382,3953,resnet50
383,3963,resnet50
384,3964,resnet50
385,3973,resnet50
386,3982,resnet50
387,3983,resnet50
388,3993,resnet50
389,4003,resnet50
390,4006,resnet50
391,4028,resnet50
392,4039,resnet50
393,4039,resnet50
394,4048,resnet50
395,4079,resnet50
396,4101,resnet50
397,4110,resnet50
398,4110,resnet50
399,4112,resnet50
400,4113,resnet50
401,4115,resnet50
402,4120,resnet50
403,4126,resnet50
404,4145,resnet50
405,4178,resnet50
406,4198,resnet50
407,4199,resnet50
408,4210,resnet50
409,4251,resnet50
410,4256,resnet50
411,4263,resnet50
412,4288,resnet50
413,4302,resnet50
414,4311,resnet50
415,4320,resnet50
416,4325,resnet50
417,4337,resnet50
418,4339,resnet50
419,4348,resnet50
420,4353,resnet50
421,4356,resnet50
422,4359,resnet50
423,4383,resnet50
424,4392,resnet50
425,4405,resnet50
426,4406,resnet50
427,4414,resnet50
428,4428,resnet50
429,4436,resnet50
430,4453,resnet50
431,4455,resnet50
432,4460,resnet50
433,4471,resnet50
434,4476,resnet50
435,4476,resnet50
436,4478,resnet50
437,4487,resnet50
438,4511,resnet50
439,4511,resnet50
440,4514,resnet50
441,4516,resnet50
442,4518,resnet50
443,4531,resnet50
444,4531,resnet50
445,4541,resnet50
446,4551,resnet50
447,4561,resnet50
448,4589,resnet50
449,4593,resnet50
450,4595,resnet50
451,4604,resnet50
452,4612,resnet50
453,4614,resnet50
454,4621,resnet50
455,4624,resnet50
456,4631,resnet50
457,4637,resnet50
458,4643,resnet50
459,4651,resnet50
460,4667,resnet50
461,4686,resnet50
462,4700,resnet50
463,4728,resnet50
464,4734,resnet50
465,4743,resnet50
466,4778,resnet50
467,4781,resnet50
468,4817,resnet50
469,4821,resnet50
470,4822,resnet50
471,4823,resnet50
472,4836,resnet50
473,4850,resnet50
474,4856,resnet50
475,4860,resnet50
476,4867,resnet50
477,4890,resnet50
478,4905,resnet50
479,4937,resnet50
480,4944,resnet50
481,4949,resnet50
482,4968,resnet50
483,4978,resnet50
484,4995,resnet50
485,5007,resnet50
486,5009,resnet50
487,5010,resnet50
488,5023,resnet50
489,5026,resnet50
490,5026,resnet50
491,5033,resnet50
492,5036,resnet50
493,5038,resnet50
494,5047,resnet50
495,5056,resnet50
496,5057,resnet50
497,5094,resnet50
498,5115,resnet50
499,5133,resnet50
500,5136,resnet50
501,5137,resnet50
502,5137,resnet50
503,5144,resnet50
504,5146,resnet50
505,5181,resnet50
506,5189,resnet50
507,5189,resnet50
508,5195,resnet50
509,5196,resnet50
510,5208,resnet50
511,5305,resnet50
512,5338,resnet50
513,5344,resnet50
514,5354,resnet50
515,5377,resnet50
516,5391,resnet50
517,5402,resnet50
518,5405,resnet50
519,5447,resnet50
520,5455,resnet50
521,5455,resnet50
522,5456,resnet50
523,5460,resnet50
524,5468,resnet50
525,5482,resnet50
526,5485,resnet50
527,5520,resnet50
528,5521,resnet50
529,5550,resnet50
530,5573,resnet50
531,5578,resnet50
532,5586,resnet50
533,5594,resnet50
534,5596,resnet50
535,5600,resnet50
536,5610,resnet50
537,5620,resnet50
538,5643,resnet50
539,5647,resnet50
540,5648,resnet50
541,5649,resnet50
542,5666,resnet50
543,5678,resnet50
544,5686,resnet50
545,5688,resnet50
546,5690,resnet50
547,5718,resnet50
548,5725,resnet50
549,5729,resnet50
550,5740,resnet50
551,5741,resnet50
552,5758,resnet50
553,5761,resnet50
554,5793,resnet50
555,5875,resnet50
556,5876,resnet50
557,5882,resnet50
558,5896,resnet50
559,5903,resnet50
560,5949,resnet50
561,5950,resnet50
562,5965,resnet50
563,5968,resnet50
564,5970,resnet50
565,5978,resnet50
566,5996,resnet50
567,6019,resnet50
568,6022,resnet50
569,6022,resnet50
570,6039,resnet50
571,6043,resnet50
572,6056,resnet50
573,6069,resnet50
574,6077,resnet50
575,6080,resnet50
576,6099,resnet50
577,6101,resnet50
578,6108,resnet50
579,6125,resnet50
580,6140,resnet50
581,6141,resnet50
582,6153,resnet50
583,6160,resnet50
584,6160,resnet50
585,6164,resnet50
586,6168,resnet50
587,6173,resnet50
588,6182,resnet50
589,6187,resnet50
590,6200,resnet50
591,6211,resnet50
592,6220,resnet50
593,6235,resnet50
594,6244,resnet50
595,6244,resnet50
596,6263,resnet50
597,6274,resnet50
598,6275,resnet50
599,6278,resnet50
600,6281,resnet50
601,6302,resnet50
602,6302,resnet50
603,6313,resnet50
604,6319,resnet50
605,6321,resnet50
606,6365,resnet50
607,6370,resnet50
608,6371,resnet50
609,6384,resnet50
610,6392,resnet50
611,6394,resnet50
612,6395,resnet50
613,6409,resnet50
614,6420,resnet50
615,6424,resnet50
616,6425,resnet50
617,6448,resnet50
618,6456,resnet50
619,6457,resnet50
620,6458,resnet50
621,6464,resnet50
622,6469,resnet50
623,6495,resnet50
624,6507,resnet50
625,6509,resnet50
626,6515,resnet50
627,6519,resnet50
628,6540,resnet50
629,6542,resnet50
630,6546,resnet50
631,6553,resnet50
632,6554,resnet50
633,6555,resnet50
634,6562,resnet50
635,6594,resnet50
636,6601,resnet50
637,6611,resnet50
638,6616,resnet50
639,6628,resnet50
640,6641,resnet50
641,6641,resnet50
642,6641,resnet50
643,6651,resnet50
644,6652,resnet50
645,6655,resnet50
646,6670,resnet50
647,6676,resnet50
648,6687,resnet50
649,6691,resnet50
650,6707,resnet50
651,6713,resnet50
652,6728,resnet50
653,6747,resnet50
654,6766,resnet50
655,6779,resnet50
656,6784,resnet50
657,6792,resnet50
658,6811,resnet50
659,6820,resnet50
660,6821,resnet50
661,6830,resnet50
662,6837,resnet50
663,6848,resnet50
664,6856,resnet50
665,6888,resnet50
666,6889,resnet50
667,6893,resnet50
668,6902,resnet50
669,6905,resnet50
670,6919,resnet50
671,6925,resnet50
672,6953,resnet50
673,6954,resnet50
674,6963,resnet50
675,6971,resnet50
676,7002,resnet50
677,7012,resnet50
678,7027,resnet50
679,7027,resnet50
680,7042,resnet50
681,7051,resnet50
682,7084,resnet50
683,7085,resnet50
684,7112,resnet50
685,7116,resnet50
686,7123,resnet50
687,7127,resnet50
688,7130,resnet50
689,7131,resnet50
690,7151,resnet50
691,7154,resnet50
692,7181,resnet50
693,7193,resnet50
694,7199,resnet50
695,7207,resnet50
696,7238,resnet50
697,7252,resnet50
698,7256,resnet50
699,7262,resnet50
700,7264,resnet50
701,7275,resnet50
702,7286,resnet50
703,7286,resnet50
704,7300,resnet50
705,7305,resnet50
706,7309,resnet50
707,7321,resnet50
708,7322,resnet50
709,7323,resnet50
710,7326,resnet50
711,7328,resnet50
712,7343,resnet50
713,7351,resnet50
714,7352,resnet50
715,7354,resnet50
716,7357,resnet50
717,7369,resnet50
718,7374,resnet50
719,7409,resnet50
720,7420,resnet50
721,7427,resnet50
722,7432,resnet50
723,7439,resnet50
724,7453,resnet50
725,7453,resnet50
726,7465,resnet50
727,7495,resnet50
728,7498,resnet50
729,7504,resnet50
730,7513,resnet50
731,7522,resnet50
732,7532,resnet50
733,7539,resnet50
734,7539,resnet50
735,7548,resnet50
736,7557,resnet50
737,7573,resnet50
738,7585,resnet50
739,7602,resnet50
740,7617,resnet50
741,7627,resnet50
742,7629,resnet50
743,7636,resnet50
744,7640,resnet50
745,7645,resnet50
746,7646,resnet50
747,7647,resnet50
748,7656,resnet50
749,7658,resnet50
750,7659,resnet50
751,7671,resnet50
752,7679,resnet50
753,7687,resnet50
754,7688,resnet50
755,7695,resnet50
756,7721,resnet50
757,7723,resnet50
758,7728,resnet50
759,7770,resnet50
760,7774,resnet50
761,7775,resnet50
762,7775,resnet50
763,7778,resnet50
764,7784,resnet50
765,7785,resnet50
766,7786,resnet50
767,7792,resnet50
768,7807,resnet50
769,7815,resnet50
770,7816,resnet50
771,7827,resnet50
772,7828,resnet50
773,7836,resnet50
774,7840,resnet50
775,7857,resnet50
776,7861,resnet50
777,7867,resnet50
778,7868,resnet50
779,7893,resnet50
780,7905,resnet50
781,7919,resnet50
782,7927,resnet50
783,7931,resnet50
784,7931,resnet50
785,7947,resnet50
786,7948,resnet50
787,7967,resnet50
788,7983,resnet50
789,8006,resnet50
790,8027,resnet50
791,8030,resnet50
792,8031,resnet50
793,8033,resnet50
794,8041,resnet50
795,8053,resnet50
796,8055,resnet50
797,8079,resnet50
798,8101,resnet50
799,8115,resnet50
800,8117,resnet50
801,8124,resnet50
802,8153,resnet50
803,8158,resnet50
804,8167,resnet50
805,8169,resnet50
806,8171,resnet50
807,8173,resnet50
808,8181,resnet50
809,8184,resnet50
810,8185,resnet50
811,8188,resnet50
812,8228,resnet50
813,8233,resnet50
814,8247,resnet50
815,8248,resnet50
816,8266,resnet50
817,8274,resnet50
818,8275,resnet50
819,8283,resnet50
820,8294,resnet50
821,8297,resnet50
822,8301,resnet50
823,8302,resnet50
824,8317,resnet50
825,8326,resnet50
826,8332,resnet50
827,8366,resnet50
828,8372,resnet50
829,8382,resnet50
830,8382,resnet50
831,8397,resnet50
832,8403,resnet50
833,8406,resnet50
834,8408,resnet50
835,8421,resnet50
836,8431,resnet50
837,8433,resnet50
838,8444,resnet50
839,8447,resnet50
840,8464,resnet50
841,8466,resnet50
842,8468,resnet50
843,8468,resnet50
844,8468,resnet50
845,8486,resnet50
846,8498,resnet50
847,8499,resnet50
848,8511,resnet50
849,8522,resnet50
850,8524,resnet50
851,8544,resnet50
852,8579,resnet50
853,8579,resnet50
854,8581,resnet50
855,8585,resnet50
856,8589,resnet50
857,8599,resnet50
858,8621,resnet50
859,8642,resnet50
860,8643,resnet50
861,8651,resnet50
862,8682,resnet50
863,8685,resnet50
864,8697,resnet50
865,8699,resnet50
866,8704,resnet50
867,8720,resnet50
868,8722,resnet50
869,8728,resnet50
870,8729,resnet50
871,8730,resnet50
872,8734,resnet50
873,8745,resnet50
874,8750,resnet50
875,8758,resnet50
876,8764,resnet50
877,8774,resnet50
878,8777,resnet50
879,8785,resnet50
880,8787,resnet50
881,8788,resnet50
882,8797,resnet50
883,8806,resnet50
884,8824,resnet50
885,8824,resnet50
886,8831,resnet50
887,8836,resnet50
888,8839,resnet50
889,8871,resnet50
890,8878,resnet50
891,8897,resnet50
892,8897,resnet50
893,8898,resnet50
894,8904,resnet50
895,8911,resnet50
896,8922,resnet50
897,8934,resnet50
898,8942,resnet50
899,8956,resnet50
900,8957,resnet50
901,8966,resnet50
902,8970,resnet50
903,8991,resnet50
904,8993,resnet50
905,8996,resnet50
906,8996,resnet50
907,9000,resnet50
908,9021,resnet50
909,9036,resnet50
910,9052,resnet50
911,9060,resnet50
912,9065,resnet50
913,9068,resnet50
914,9087,resnet50
915,9090,resnet50
916,9114,resnet50
917,9125,resnet50
918,9142,resnet50
919,9159,resnet50
920,9163,resnet50
921,9166,resnet50
922,9178,resnet50
923,9211,resnet50
924,9235,resnet50
925,9245,resnet50
926,9245,resnet50
927,9260,resnet50
928,9270,resnet50
929,9286,resnet50
930,9303,resnet50
931,9325,resnet50
932,9340,resnet50
933,9351,resnet50
934,9354,resnet50
935,9371,resnet50
936,9377,resnet50
937,9385,resnet50
938,9386,resnet50
939,9398,resnet50
940,9402,resnet50
941,9413,resnet50
942,9413,resnet50
943,9418,resnet50
944,9422,resnet50
945,9422,resnet50
946,9426,resnet50
947,9430,resnet50
948,9439,resnet50
949,9448,resnet50
950,9453,resnet50
951,9470,resnet50
952,9493,resnet50
953,9503,resnet50
954,9514,resnet50
955,9553,resnet50
956,9569,resnet50
957,9577,resnet50
958,9591,resnet50
959,9608,resnet50
960,9613,resnet50
961,9618,resnet50
962,9621,resnet50
963,9632,resnet50
964,9651,resnet50
965,9658,resnet50
966,9669,resnet50
967,9685,resnet50
968,9697,resnet50
969,9712,resnet50
970,9719,resnet50
971,9727,resnet50
972,9747,resnet50
973,9752,resnet50
974,9757,resnet50
975,9759,resnet50
976,9766,resnet50
977,9769,resnet50
978,9778,resnet50
979,9785,resnet50
980,9786,resnet50
981,9788,resnet50
982,9819,resnet50
983,9832,resnet50
984,9843,resnet50
985,9860,resnet50
986,9871,resnet50
987,9876,resnet50
988,9888,resnet50
989,9902,resnet50
990,9907,resnet50
991,9917,resnet50
992,9918,resnet50
993,9918,resnet50
994,9935,resnet50
995,9967,resnet50
996,9971,resnet50
997,9976,resnet50
998,9985,resnet50
999,9998,resnet50
